-1.7165923e-01 -3.3373192e-01 5.3012226e-02 -5.9323297e-21 2.0874293e-01 -1.2043394e-01 1.7570043e-02 -3.1070820e-22 -9.6249888e-03 1.9022979e-01 -3.6727828e-01 3.9599798e-22 -2.3623663e-22 3.3670638e-22 8.8355504e-02 -7.7541664e-02 3.9584229e-05 -3.6337774e-02 5.9992574e-02 5.5373647e-21 -4.6802242e-04 -1.2338749e-01 -1.3435170e-01 8.7596802e-03 -2.4750336e-01 1.5849201e-02 -2.4314586e-04 -1.0981160e-01 5.5512664e-22 -2.0336816e-03 2.8331161e-01 7.6663405e-02
-3.1894177e-01 -6.0986429e-01 -1.7077067e-01 -6.7670563e-21 -5.8234251e-01 -2.5606823e-01 -4.1897435e-02 1.3242730e-22 2.0075768e-04 3.2948893e-01 -4.0188611e-01 3.6303442e-22 1.6473359e-22 1.9764892e-22 9.9442557e-02 -1.1775596e-01 5.5066495e-05 -5.3186085e-02 -2.1564820e-01 3.1601165e-21 8.0912702e-02 7.8551285e-02 -2.8425345e-01 1.4260513e-03 -3.6610478e-01 5.0728995e-02 -3.6234714e-04 -1.8961383e-01 -1.6116295e-22 2.0038218e-03 4.8641202e-01 2.4780778e-02
-1.0640896e-01 -1.8449301e-01 9.7797088e-02 -8.8151967e-22 3.8043582e-01 -6.8350591e-02 8.6523294e-02 1.8613544e-23 1.7118527e-02 7.7588290e-02 -1.5686877e-01 3.5159195e-22 4.4411556e-22 8.2842613e-23 3.2441728e-03 -1.8690495e-02 3.0548410e-05 -1.9126136e-02 -3.7263909e-01 4.2497539e-21 -4.8025981e-02 5.3202439e-02 -8.1103593e-02 5.2627064e-02 -1.3392034e-01 9.1917776e-03 -6.4494082e-04 -7.1920931e-02 -4.4441788e-22 1.1608889e-02 1.7238577e-01 -4.4782747e-02
-2.8731436e-01 3.5100836e-01 -1.1747840e-01 -4.6135377e-21 1.3840601e-01 -1.7015487e-02 -5.6847062e-02 -4.4375059e-22 8.0750987e-02 3.1952396e-01 1.3060972e-02 3.3578578e-22 2.0598338e-22 1.8924757e-22 6.0865223e-02 1.3934462e-01 3.8804043e-05 -1.1231256e-01 -5.1088814e-02 3.9069784e-21 -4.6892650e-02 -5.1850486e-01 2.6942444e-01 6.4778514e-02 -2.3171782e-01 4.0669538e-02 -2.3989094e-04 3.8776219e-01 6.6887347e-22 -4.9928062e-02 7.8095853e-02 1.2511784e-02
-4.7017857e-01 6.4104766e-01 1.2640988e-02 -5.1606954e-21 -5.4375184e-01 -3.9394639e-02 -8.8126026e-02 -2.5765288e-22 1.8513684e-01 5.2612174e-01 2.4470456e-02 2.4147719e-22 5.1334403e-22 3.1668141e-22 2.6306260e-01 2.0396526e-01 5.3471711e-05 -2.1728103e-01 -6.1998159e-02 1.5824094e-22 6.7044452e-02 4.0957123e-01 3.7920162e-01 -1.1841781e-02 -3.7513867e-01 7.5584240e-02 -3.5838826e-04 6.8272281e-01 -1.0833780e-22 -8.7437648e-03 -1.1531068e-04 1.6428471e-01
-1.3138169e-01 2.1414135e-01 1.0432463e-01 6.3363504e-22 4.3274117e-01 -1.0912601e-02 -1.8201685e-02 -3.0477875e-22 5.2987393e-02 1.4043882e-01 5.1645420e-02 2.7116325e-22 4.8140453e-22 3.1072502e-22 3.3964876e-02 4.4063315e-02 2.8898581e-05 -5.8820613e-02 -3.0763817e-01 2.9191493e-21 3.0394334e-03 1.2332360e-01 5.5108406e-02 1.3360637e-01 -1.1400216e-01 1.7412104e-02 -6.4073666e-04 2.4740286e-01 -4.0226507e-22 7.0959002e-02 -5.5188697e-02 4.6139974e-02
-7.1324117e-02 -5.4448005e-02 -1.5310135e-01 -3.4675476e-21 -2.9207533e-02 -4.1514193e-03 7.1087452e-03 1.2517463e-22 -4.2860698e-02 1.3071096e-01 6.6081211e-02 3.2197001e-22 5.3018672e-22 -1.4087920e-22 2.9408492e-02 2.1906201e-02 3.8714468e-05 1.2464902e-01 1.6567277e-03 7.0106101e-22 -6.8596750e-02 -4.4205219e-01 -1.6653956e-01 1.2961105e-01 -2.0790035e-02 7.9168174e-03 -2.4065824e-04 -2.8294206e-01 4.9287848e-22 1.5117349e-01 -2.9959872e-02 -1.5975147e-01
-1.0459098e-01 -8.4685721e-02 9.3062058e-02 -3.8599725e-21 7.0129908e-03 -1.1549902e-03 2.2884564e-02 7.6094754e-23 -7.7195331e-02 1.7801511e-01 -1.1257722e-02 1.5174087e-22 6.9082036e-22 3.4128132e-22 2.0102349e-01 1.7382996e-02 5.3296932e-05 2.4351311e-01 2.2504535e-01 -4.0714670e-21 5.8483839e-02 2.9452908e-01 -1.2966129e-01 -5.7109916e-03 -8.7426351e-03 3.2807793e-02 -3.3132723e-04 -4.7881073e-01 -1.7708903e-23 -1.6984190e-01 -7.2365038e-02 6.8065777e-02
-5.7254795e-02 -3.5781369e-02 5.3942539e-02 1.0159872e-21 3.4057438e-02 1.0466283e-02 5.9580121e-02 1.1305339e-22 -2.3241246e-03 3.7044950e-02 8.4249182e-03 2.4491624e-22 8.2926093e-22 4.3084013e-22 2.4540102e-02 1.3884449e-02 2.7881930e-05 6.5747984e-02 -2.7165252e-01 9.3215874e-22 4.1048937e-02 1.4460462e-01 1.9152407e-02 2.1843769e-01 -3.2153882e-02 4.6313377e-03 -6.1425590e-04 -1.8939014e-01 -2.9798740e-22 3.5093874e-02 -1.2092093e-02 4.0017132e-02
2.8517261e-01 -4.6678141e-01 1.2122674e-01 -6.7564129e-21 1.2615354e-01 -3.1968722e-01 -2.0581588e-02 -5.9509996e-22 1.8671156e-01 -2.0121400e-01 -8.1560919e-03 5.3877206e-22 -2.1028197e-23 5.4508638e-22 6.3375868e-02 -1.6699168e-01 4.0060946e-05 -5.9513815e-02 4.1719712e-03 7.8864587e-21 -2.2569302e-02 -4.0998304e-01 8.0836512e-02 -6.1504357e-02 -1.4846005e-01 -1.3526659e-01 -2.5741127e-04 2.5295256e-02 3.4063468e-22 -4.7098085e-01 -1.9712154e-02 1.5877604e-01
