-7.1416579e-02 1.2606193e-03 4.5579910e-02 -9.9184141e-02 6.4661875e-03 2.1501791e-02 3.9537583e-02 5.9303351e-02 2.4448652e-02 6.0869232e-02 -2.0916063e-02 2.2528777e-02 -6.0968280e-02 -3.4049656e-02 1.1991052e-02 -7.0216772e-03 -2.1297429e-02 -1.2581459e-01 1.1467231e-02 -2.0839529e-02 1.6227555e-02 1.6683586e-02 1.5266644e-02 -5.2705042e-02 -3.3883736e-02 4.9827505e-02 9.6025085e-03 -2.9793916e-02 3.4255370e-02 4.1133612e-02 -3.6398809e-02 3.5249934e-02 -2.6536843e-02 3.6370533e-03 -1.3746737e-02 2.4906688e-03 1.8277846e-02 7.7016734e-02 6.8222634e-02 4.7150366e-02 -2.8214434e-02 -1.9772012e-02 -6.7554727e-02 -6.5372787e-02 3.1057967e-02 1.6625013e-02 -1.7714761e-02 3.5765026e-02 -4.1018776e-04 1.7104642e-02 3.2173354e-02 4.1655377e-02 1.8170943e-02 4.1904666e-02 -1.2935249e-02 -1.2190258e-02 7.6831102e-02 2.0018576e-02 4.3075837e-02 -1.4426170e-02 4.7084659e-02 3.0911380e-02 4.7792617e-02 1.8447112e-02
-4.1665271e-02 -3.6313105e-02 -2.5342768e-02 -2.1946898e-03 -5.4089751e-02 5.3225826e-02 7.1132898e-02 -1.4903206e-02 2.5209960e-02 -5.9570973e-03 2.4849351e-02 2.1521548e-02 -7.6888455e-03 -1.2521176e-03 -3.3228103e-02 9.8473364e-03 -5.5496078e-03 -3.6310945e-02 -6.6917583e-02 -1.9044692e-02 3.3187244e-02 -4.3016803e-02 -4.6155393e-02 -1.8767206e-02 -1.1199132e-01 3.3411253e-02 3.3696892e-03 -7.8729488e-02 3.6467558e-03 -6.2802550e-03 -1.5510911e-02 3.0262217e-02 3.9110854e-02 -1.8133789e-02 1.0793129e-02 -2.2188919e-02 -1.0652106e-02 -4.0860150e-02 -1.1904503e-01 2.8773716e-03 6.7523241e-02 -8.1401262e-03 -2.9460339e-02 -4.8346277e-02 2.0854773e-02 -1.0885894e-02 8.2134292e-02 -1.5238617e-02 1.1056700e-02 -1.4619946e-02 -2.0202314e-02 3.9393837e-03 -1.2953717e-01 7.8154011e-03 -2.8149246e-03 -4.4797916e-02 -2.5116032e-02 5.8061007e-02 -8.3243446e-03 1.0007137e-02 -1.7835984e-01 -5.7734005e-02 2.4861919e-02 -7.2971940e-02
-1.5433488e-02 -3.5540496e-03 -3.8709522e-03 2.6770378e-02 -3.2015583e-03 1.3121408e-01 -9.0744384e-02 1.7618215e-02 2.3822853e-02 -1.5325771e-02 -2.1640399e-02 -6.4401224e-02 -8.0457330e-03 -8.8472128e-02 -2.4566179e-02 2.4298811e-02 1.7611187e-02 5.2889496e-02 8.5968576e-02 2.2791697e-02 2.3244496e-02 6.0498238e-02 6.8791933e-02 2.5844730e-02 5.8789242e-02 -4.0525217e-02 -1.8774312e-02 -5.4094654e-02 7.1683250e-02 -2.5595217e-03 -3.5540905e-02 -4.6669133e-02 1.6105276e-02 -2.1551259e-02 9.1054535e-04 2.7970603e-02 4.8189275e-02 -4.4795461e-02 3.2309581e-02 -4.5538194e-02 -1.7928462e-02 -7.7113989e-03 -7.2404824e-02 -1.9725000e-04 -3.9032783e-02 -4.4445411e-04 -8.2376473e-02 -9.2163477e-03 -7.4903272e-02 4.2284545e-02 -3.7405960e-02 -3.7959192e-02 4.4398144e-02 4.8485552e-03 1.6982991e-02 -2.2657279e-02 3.0660940e-02 -1.0448522e-01 -2.6981404e-02 -5.1836349e-02 -4.0959943e-02 7.9205772e-03 -1.2500766e-02 -7.3880372e-03
6.0664728e-02 -4.1754927e-02 5.7489704e-02 7.4914038e-02 4.7537871e-02 8.6999703e-03 4.9731489e-02 -2.3802396e-02 2.1656394e-02 6.5775864e-02 1.2523744e-02 -2.5812401e-02 1.1504565e-02 2.3570526e-03 5.0420135e-02 1.9077037e-02 -5.2416436e-02 3.0951114e-02 -1.2897993e-02 6.9993049e-02 3.2295547e-02 2.6399037e-02 -4.3802593e-02 5.0980367e-02 2.4274981e-02 -4.2901382e-02 3.4790486e-02 -7.9092970e-03 -4.7775719e-02 -1.4386641e-02 -8.6923920e-02 4.1162996e-03 6.7938372e-02 2.1747887e-02 -1.0417426e-01 -3.3303697e-02 -5.5367844e-03 3.0367961e-02 -7.0011485e-03 1.1564211e-01 3.0608065e-02 1.8679863e-02 -3.9248064e-02 -2.0985692e-04 3.1469755e-02 2.1497812e-03 5.4357775e-02 -1.6621897e-02 1.4217268e-02 -1.0745591e-02 8.7265790e-02 1.4178476e-02 -7.1543423e-03 -6.7423359e-02 -1.7490119e-02 -2.0575739e-02 7.2839648e-02 6.1795838e-02 -9.0425108e-03 2.1998929e-02 3.3442825e-02 4.7435809e-02 1.1202817e-01 -4.5700695e-02
1.2242530e-02 3.8828529e-02 4.9378131e-02 -2.9870398e-02 -6.4103402e-02 4.9788266e-02 -1.8971425e-02 -6.2286887e-02 8.2165986e-02 8.8193782e-02 -2.1518789e-02 4.9166039e-02 -9.8280292e-03 -6.6589616e-02 -3.9309554e-04 3.4997540e-03 3.2861739e-02 -5.1244803e-02 3.8564183e-02 -2.5564805e-02 -1.0615235e-02 2.5657816e-02 -8.5049644e-02 -8.2684651e-02 -4.0720771e-03 -2.3577798e-02 8.9136148e-03 7.1344496e-04 1.9855095e-02 9.8634973e-02 2.4164217e-02 2.0754594e-02 -6.9476585e-03 4.5011543e-02 3.8847007e-02 1.8713955e-02 2.3149129e-02 -1.6755614e-02 4.7092862e-02 1.8676391e-02 -2.6476536e-02 -3.0871995e-02 -2.2425307e-02 -1.5418775e-01 3.3889975e-02 -6.2450413e-02 -4.0531479e-02 2.6796118e-03 6.0457480e-03 4.5669485e-02 -4.3690759e-03 -1.5545224e-02 -1.0830328e-02 -2.0704840e-03 -3.5877086e-02 4.7327667e-02 4.5778146e-03 -2.3119261e-02 -7.2565854e-02 3.1912914e-05 1.8641114e-02 -4.6269681e-02 8.9055374e-02 -4.4327900e-02
2.8522043e-02 -1.0043097e-01 2.1931168e-02 -2.4132235e-02 5.4897573e-02 -9.2427351e-04 6.4761271e-03 6.9052033e-02 -3.9842382e-02 -5.9169613e-02 -2.9107675e-02 -2.6500329e-02 1.2382226e-02 1.6440229e-02 2.0565029e-02 2.6236314e-02 -4.2614777e-02 1.8571327e-02 7.7601060e-02 3.5631228e-03 -4.4270888e-02 -1.8600300e-02 2.5336418e-02 4.7653425e-02 -5.9963703e-02 -7.6043387e-03 -8.9918956e-02 -2.6626278e-02 1.7221222e-02 -4.1034225e-02 3.1407744e-02 5.2170786e-03 4.7886033e-02 5.0387131e-03 -1.0677155e-02 5.3082429e-02 1.0412209e-02 -3.7897106e-02 -5.4729762e-03 5.9243268e-03 3.7931595e-02 7.6021209e-02 1.2095302e-02 4.9398422e-02 2.1483295e-02 -4.5596842e-02 -2.6148826e-02 -2.3717927e-02 3.6865648e-02 -1.4305603e-02 -1.2594795e-02 3.7164826e-02 1.0446794e-02 -1.2281864e-02 -3.6399789e-02 9.0303002e-03 9.8327622e-02 3.7598539e-02 1.5683634e-02 -3.6451098e-02 2.9219048e-02 -7.2739027e-02 -1.7017663e-02 -4.4583003e-03
-4.4362362e-02 -7.7315822e-02 -1.4240857e-02 -4.0358085e-02 -9.6817814e-02 -1.3686892e-02 -2.4480868e-02 -1.1695254e-03 7.7574640e-03 2.0651674e-02 3.5639714e-02 3.6563657e-02 -1.6014252e-02 2.4082974e-02 5.1336929e-02 4.2137220e-03 1.9292274e-02 -6.3063600e-03 5.7417937e-03 -2.4777953e-02 -5.2233644e-02 -4.1293949e-02 -4.4436280e-02 1.1714778e-02 -2.4122961e-02 5.8749773e-02 -1.1701301e-01 -5.5345215e-02 -6.6857375e-03 5.0587934e-02 7.3563872e-04 -4.5562401e-02 -5.0327856e-02 1.6252231e-03 -2.5902713e-02 -1.8809994e-03 1.8900752e-02 1.3338336e-02 -2.0581020e-02 1.2557483e-02 -2.8270885e-02 -1.3402119e-02 -1.5690325e-02 -1.2839258e-02 -1.6853346e-02 1.8206214e-03 2.7452651e-03 3.7634857e-02 -2.7621186e-03 -8.2888566e-03 -1.7018376e-02 1.1044377e-02 6.0110584e-02 6.6556670e-03 1.0472634e-02 -8.8201760e-04 -8.8240812e-04 -3.0447600e-02 6.8663866e-03 -1.2521838e-02 3.1719254e-03 2.1643342e-02 -2.7835762e-02 1.7701859e-02
2.2175152e-02 4.8753969e-02 -1.6860791e-03 2.8089631e-02 -3.9629936e-03 2.7384588e-02 -2.0772930e-02 3.3392541e-02 -1.7314890e-02 -1.5290946e-02 -3.6167789e-03 -1.1102674e-02 1.6662002e-02 -5.4388892e-02 7.6672737e-03 2.5712598e-02 4.4144630e-03 -1.6360110e-02 6.2888764e-02 9.6626393e-02 5.3611246e-04 1.1613215e-03 4.8722819e-04 -1.3239071e-02 -4.8797796e-03 -3.5394929e-02 4.4103283e-02 -3.7418101e-02 -4.6074085e-02 -4.4469453e-02 -7.5617069e-03 1.9463381e-02 -2.9104378e-02 8.3683252e-02 7.6379748e-03 4.8282845e-03 -7.8890987e-02 -5.8028940e-02 -6.0644569e-03 -4.4589464e-02 5.6138482e-02 1.3933011e-02 5.8010764e-02 -2.8162483e-02 -4.6162033e-03 1.0636307e-02 9.3502123e-03 4.7730807e-02 -6.4599268e-02 5.3780150e-02 -6.3568100e-02 5.9949283e-02 4.3884832e-02 3.6575206e-02 -6.6451430e-02 -2.5832988e-02 1.1767679e-01 -3.3106148e-02 -2.6094224e-02 1.5942041e-02 2.6594218e-02 6.9724485e-02 -1.6173135e-02 1.2535085e-02
2.7413869e-02 -1.0189847e-02 -2.0544931e-02 -3.8345136e-02 3.1156955e-02 9.8114684e-03 4.2376043e-03 -4.7228802e-02 -1.4762299e-02 -3.7655614e-02 -6.4092189e-02 2.4828143e-02 -1.0542434e-02 -2.3470450e-02 7.3399395e-02 6.2457599e-02 2.3833394e-02 -3.9834853e-02 1.2497619e-01 1.4109918e-01 -1.3032198e-02 4.5061829e-03 1.8873258e-02 2.9581532e-02 -2.3259383e-02 -1.1366653e-02 4.8673101e-02 -3.4391940e-02 -3.0888939e-02 5.6241963e-02 1.3638332e-02 -5.8861687e-03 9.2144229e-02 1.4694063e-02 2.1799494e-02 3.4528565e-02 -2.4825716e-02 -2.6644790e-04 1.7430870e-02 -2.7197031e-02 -5.7007424e-03 4.1977718e-02 -3.5570148e-02 -3.1494725e-02 -2.7108681e-03 1.6698705e-02 -3.5451792e-02 5.6150690e-02 -9.5871054e-02 -8.7842373e-03 1.8567188e-02 7.2847581e-03 7.9033487e-02 -8.9142621e-03 -4.7471367e-05 -3.3952720e-02 1.0216283e-01 2.2104956e-02 3.3953909e-02 1.7170981e-02 -5.5821720e-03 1.8817201e-01 -1.0440073e-03 7.7466235e-02
-7.6194406e-03 -1.2492619e-02 4.4606184e-03 -5.6432919e-03 -1.2226330e-02 -3.1177945e-02 -4.7045801e-02 1.9237887e-02 2.6841421e-02 -4.3009869e-03 3.7828060e-03 -1.2554613e-02 2.1635821e-02 2.0788817e-02 -3.0082930e-02 -8.7794609e-02 7.9652527e-03 -1.3907868e-02 4.1212626e-02 -1.1293852e-03 2.7758434e-02 4.4278782e-02 3.1677976e-02 4.2529282e-04 -9.6652396e-03 7.3991553e-03 6.9277426e-03 3.6036436e-02 3.4498788e-02 5.5863154e-03 1.1190137e-01 3.2687526e-02 -4.6098556e-02 1.4134425e-04 2.4633717e-02 -8.6668670e-02 -2.4548318e-02 4.5756157e-03 -2.6558768e-02 -2.3228982e-02 7.8089824e-03 -4.3380518e-02 2.5183856e-03 -1.1390571e-02 4.9606557e-03 -2.2070881e-03 1.3001623e-02 1.8686414e-02 -4.9418576e-02 3.3987381e-02 3.3336934e-02 2.0993486e-02 -1.7098686e-02 -2.3826985e-02 -6.7101873e-02 7.2566778e-03 3.2373110e-04 1.2465510e-04 -1.2321878e-02 -3.7595771e-02 -1.9826710e-02 1.6385252e-02 5.4156398e-03 3.1221014e-02
