-1.6328023e-01 -1.0594705e-01 -1.3494686e-02 -7.2030634e-02 1.1959516e-01 -8.7590829e-02 9.1536172e-02 2.6701593e-03 2.0204193e-03 -7.7310733e-02 -1.1701862e-01 6.5095522e-02 4.5484446e-02 2.4165099e-03 4.4573858e-02 7.4353069e-02 1.1864429e-01 2.6840558e-02 1.4867036e-01 7.0983872e-02 -9.7020557e-03 1.0390679e-02 -6.7331247e-02 1.9186109e-01
2.1781819e-02 -4.7258653e-02 -4.5487322e-03 5.7209905e-02 4.4447761e-02 -5.2934136e-02 -2.7911086e-03 8.5002370e-03 5.8190305e-02 8.4872752e-02 9.0830557e-02 -1.1649607e-01 1.1023105e-02 -1.0287474e-01 -2.2367709e-03 -1.2535880e-02 -8.0006108e-02 -3.1276636e-02 -4.7427289e-02 1.4288896e-01 2.9450295e-02 -3.0575893e-03 -1.8232116e-02 -2.2182731e-02
4.8860051e-02 2.6147688e-02 9.4319694e-02 5.8575034e-02 6.0009595e-02 4.2590930e-04 -3.1962369e-02 -2.4315084e-03 -3.2393489e-02 -1.9205771e-02 -9.7036906e-02 -1.6461483e-01 -7.9883330e-02 1.5699111e-01 7.7891261e-03 5.4992184e-02 -7.4908286e-02 3.7074182e-02 -6.9561355e-02 -2.1908069e-02 1.0402350e-01 8.6307734e-02 -1.6793233e-01 -1.5986284e-02
-4.3759797e-02 -1.2735817e-01 -2.9287564e-02 1.4195575e-01 -3.8024774e-01 -5.1827312e-02 -6.0372271e-02 6.0577009e-02 2.9483611e-02 -6.6193700e-02 3.6172327e-02 -1.2113187e-01 2.9817036e-01 1.9592811e-01 2.7673932e-02 -3.9512645e-02 1.2830332e-01 3.7447706e-01 -6.6247463e-02 1.0989601e-03 5.9034243e-02 7.1916558e-02 1.1629317e-01 -1.9691791e-02
-8.0056414e-02 1.2806623e-02 1.0989002e-01 -3.3040214e-02 -8.7043392e-03 -2.1911575e-01 1.7829427e-02 5.2465338e-02 -1.6757799e-02 -9.9381775e-02 -1.1006513e-01 3.7558696e-03 -2.1009503e-02 7.1759090e-02 1.5228306e-01 -9.9264514e-03 4.7826357e-02 -5.8060330e-03 1.0954319e-01 -7.0007248e-03 3.1241938e-02 4.1778985e-02 6.0647570e-02 4.1531298e-02
1.0837758e-02 1.2878473e-01 -1.1171596e-02 1.2093159e-01 3.7578963e-02 4.0447254e-02 8.2286097e-02 1.4022775e-01 -5.2455209e-02 5.2041234e-03 9.8443434e-02 -3.5450235e-02 6.4629801e-02 1.5195166e-01 -2.8389517e-02 -2.1943247e-01 1.3937849e-02 7.9789899e-02 9.9940496e-03 3.2755662e-02 -6.3177194e-03 1.1327898e-01 -1.1322469e-02 3.5445511e-02
1.6325416e-02 3.1280935e-02 3.4266047e-02 2.9992491e-03 1.5017232e-01 1.4502546e-03 -4.9554496e-03 -5.5173013e-02 -8.7729441e-03 -1.4024027e-01 -3.0574592e-02 -1.5892301e-01 -7.4385419e-02 1.4159109e-01 2.4544452e-03 4.0842209e-02 4.2541452e-02 -1.5334959e-01 -1.2779772e-01 -6.9514982e-02 2.4575168e-02 -1.0561966e-01 -3.3806633e-02 1.9250507e-02
-3.1480668e-03 -7.1000703e-02 4.2193573e-02 9.9425606e-02 8.6526811e-02 1.5287489e-01 4.3930449e-03 -4.4006053e-02 2.8001668e-02 -2.6391575e-01 7.3985904e-02 -1.0561886e-01 -4.5664575e-02 1.1956021e-01 -7.5136691e-02 -6.1537996e-02 -9.2564626e-03 -1.5667012e-01 1.1502229e-01 7.5653516e-02 -4.1461978e-02 1.9872326e-01 7.8524567e-02 7.7797420e-02
3.8034490e-03 3.4971770e-02 -8.4499732e-02 -4.5895271e-02 2.2940949e-02 -5.7989687e-02 7.2079837e-02 8.7447293e-02 -5.0778664e-03 1.6662551e-01 -3.1975109e-02 2.0870072e-01 2.8435660e-03 -1.5517437e-01 -2.4041506e-02 -6.3194312e-02 -4.5373254e-02 -1.6617015e-02 1.9968836e-02 1.3721670e-01 -2.3612089e-02 7.8940019e-02 -1.0009266e-02 -2.8353972e-02
3.3219319e-02 -5.8381431e-02 1.3311423e-01 5.1655296e-02 -1.3591942e-02 -2.3365632e-01 1.9455640e-02 -8.5362643e-02 1.0527147e-01 -2.2840146e-02 -1.4857890e-04 7.8577101e-02 1.2074094e-01 6.2142454e-02 -2.5932825e-01 -5.0014718e-03 -1.1168494e-01 -6.1801042e-02 -9.2709891e-04 -7.1994424e-02 1.1030252e-03 4.1882407e-02 1.5117913e-02 3.2744345e-03
-4.2099047e-02 -4.2847335e-02 1.9040908e-01 5.6809675e-02 1.5923887e-01 1.5061067e-03 9.3099140e-02 6.0602702e-02 -6.2512220e-03 3.8885035e-02 2.2290455e-02 -9.3286306e-02 -1.6384895e-01 9.1324843e-02 2.0178419e-01 -9.2188485e-02 -3.8859256e-02 2.7245887e-02 -1.3436179e-02 6.9811918e-02 3.8797058e-02 3.9430041e-02 -8.6603835e-02 1.1474013e-01
-4.5649521e-02 6.0983989e-02 1.5139204e-02 5.6828719e-02 -5.7965226e-02 1.0544270e-01 2.1129737e-02 3.8058467e-02 2.5010351e-02 -3.1165448e-01 -1.9724706e-01 -1.1260432e-01 1.0399116e-02 -9.1414303e-02 5.2785959e-02 -1.4597708e-01 1.8933397e-02 -1.8358409e-02 -9.7978391e-02 1.7222176e-01 1.3557090e-01 1.1924338e-01 5.8227215e-02 -1.2543358e-02
-2.2601321e-02 6.2156986e-02 1.1522805e-01 5.5144217e-02 -4.8841849e-02 5.5990759e-02 1.4574084e-02 7.6491408e-02 -1.6946234e-02 -3.8307026e-02 6.3081689e-02 -4.0311161e-02 1.4170449e-03 2.5416088e-01 -5.6824093e-03 -3.1023014e-02 -2.7922170e-02 7.1757309e-02 -9.7926185e-02 -1.3965242e-01 5.6802843e-02 -5.2069626e-03 -1.1308075e-01 2.4060840e-03
1.3953882e-01 2.2674548e-02 -2.8594667e-01 1.7016771e-01 1.8452752e-03 -1.3326537e-02 -4.9747400e-02 1.5999321e-02 2.9571192e-02 -3.9777696e-02 5.4750286e-02 -1.5499620e-02 -1.5283383e-01 -8.8346340e-02 -3.3380438e-02 -2.1619193e-02 2.4360307e-02 3.0661374e-02 3.3923537e-02 3.0707393e-02 1.4197042e-02 1.0135742e-01 4.1568641e-02 2.6098648e-02
-4.1044351e-02 -3.6732219e-03 4.2609017e-02 2.3661715e-01 7.8601561e-02 1.1405550e-02 -5.5198696e-02 -2.2804288e-02 -5.9760693e-03 -7.0402473e-02 -5.3532086e-02 -4.8674736e-02 -1.2388247e-01 -1.4273625e-02 7.0984498e-02 2.3801562e-01 -4.6708480e-02 -5.3433783e-02 -9.6814021e-02 -7.2927490e-02 -5.8653425e-02 8.3101727e-02 9.3364321e-02 -5.0379954e-02
4.3152660e-02 -2.6994729e-02 -3.2902443e-01 -1.3963771e-01 -3.0904224e-02 1.6218159e-01 1.9018331e-01 -9.2021115e-02 -2.3567786e-02 -2.7300820e-02 -3.5400719e-03 -2.6172191e-02 -2.6397580e-02 3.6854498e-02 1.8425338e-03 5.4303173e-02 2.3005856e-02 -1.1378174e-01 -2.1968642e-02 7.5681835e-02 1.9309992e-02 4.0247403e-02 -3.2238145e-03 1.1635931e-01
-1.1418601e-02 2.6788864e-01 -4.7854194e-03 -6.3654602e-02 -4.5131542e-02 -1.9129214e-01 1.5057744e-01 -1.6734997e-02 -1.2392292e-01 2.9120339e-02 1.6241036e-02 9.0774804e-02 -7.7732578e-02 -9.5902093e-02 1.2986553e-01 -9.6960112e-02 6.3782282e-02 -1.2165111e-01 -2.7697188e-01 -3.6252521e-02 1.6342220e-01 -5.9808247e-02 -6.4627111e-02 -1.4307051e-02
1.6028325e-01 2.2341928e-02 2.2096980e-02 -3.4537539e-03 -1.0568143e-01 8.8294446e-02 -4.4371132e-02 -3.9998345e-02 -4.0779015e-01 -3.9318278e-02 -1.3141342e-02 -3.5163913e-02 1.8949913e-02 -1.1456710e-01 -1.1705802e-01 1.2053359e-01 -6.2441368e-02 6.4295456e-02 -1.0388076e-01 5.1611274e-02 -1.8099021e-02 4.1365132e-02 1.4982198e-01 3.8148850e-01
8.9980960e-02 6.7445114e-02 -2.1128674e-01 1.0786089e-01 1.9736713e-02 9.5443940e-03 -3.2476764e-02 7.8416891e-02 -3.4494322e-02 -8.3184078e-02 -8.6008750e-02 -2.5183488e-02 3.0355323e-03 3.3306785e-02 -3.8103473e-03 8.8606000e-02 -1.0363419e-01 -3.7673453e-03 2.7946530e-02 -6.2705055e-02 8.6556666e-02 1.8144061e-01 -1.3741706e-01 -6.4526661e-03
1.2150241e-01 1.5664391e-01 5.4540053e-02 -2.3421487e-02 2.7171638e-02 -3.5934858e-02 7.0075956e-03 1.2271852e-02 -9.8684594e-02 -1.1130466e-01 -5.7483647e-02 -4.5613546e-02 -4.0018473e-02 -5.3785585e-02 -2.1813579e-01 -2.5917676e-03 3.1594962e-02 -7.3552139e-02 -3.7848502e-02 4.9845278e-03 1.7389322e-02 2.7122168e-02 8.9381643e-02 4.4203639e-02
1.2365698e-02 -4.4089030e-02 1.1800817e-01 2.3214422e-02 -3.6978558e-02 -9.5108509e-02 9.0726815e-02 -1.0348360e-02 1.3178702e-01 -1.8503487e-01 1.2465075e-01 -2.1455365e-01 -7.2788894e-02 -3.3420816e-02 -7.4676730e-02 1.6794370e-01 -1.6559097e-01 -1.5831787e-02 -2.2483878e-02 7.9476908e-02 2.8960395e-01 2.9477771e-02 -8.7154388e-02 7.8752644e-02
-6.1970778e-02 -6.7912512e-02 -2.4297303e-02 -6.3720405e-02 -7.4687764e-02 1.2186328e-01 -4.2489460e-03 -8.9049511e-02 -8.3601043e-02 1.9136131e-01 2.4775958e-01 -5.8595903e-02 2.7735190e-02 -1.6489476e-03 1.3837087e-01 3.7700448e-02 -2.0688601e-01 1.1518221e-01 -2.6721323e-01 9.5136642e-02 -7.3766388e-02 3.1140000e-01 1.1162756e-01 -1.4770178e-01
-1.6792947e-01 -1.4852074e-02 1.4812944e-02 1.3121291e-01 1.5706966e-02 5.8146194e-02 2.7545203e-02 -1.7920950e-01 -1.4317050e-03 1.3542494e-01 1.4254997e-02 3.2453667e-02 4.1674875e-02 -6.4401142e-03 9.6263960e-03 -2.1253955e-01 5.3410131e-02 -5.8649573e-02 2.7992625e-02 -1.4888545e-02 -4.2149913e-03 2.3808584e-03 2.7449152e-01 3.4097433e-02
-9.7558826e-02 -1.1868497e-02 1.4443573e-01 8.8974796e-03 1.3493381e-01 -3.2106094e-02 7.5663164e-02 7.2928928e-02 -2.6850142e-02 6.9531217e-02 -1.3209894e-02 -4.3150458e-02 -1.6652498e-01 8.0048993e-02 2.9498923e-01 -9.5352359e-02 3.5774142e-02 6.3756749e-02 3.6053464e-02 8.8944249e-02 8.1002582e-03 1.2496993e-02 -4.8317965e-02 5.2178729e-02
1.3033183e-02 -1.9904848e-02 1.8598053e-01 5.6339037e-02 1.2057140e-01 -5.2281577e-02 6.2645741e-02 -8.1084974e-02 -3.0969530e-01 2.4066161e-02 3.9678715e-02 -9.9060953e-02 3.2135278e-02 9.5411770e-02 -6.8542518e-02 -3.0277381e-02 7.0023215e-03 -1.7939823e-02 -1.2464853e-01 -6.9998568e-03 6.7169443e-03 9.4346423e-03 5.6367420e-02 9.0446390e-02
-8.9852110e-02 1.3147739e-01 -4.6841081e-02 -3.3577651e-02 -3.3162106e-02 3.4523286e-02 -9.0760075e-02 -1.0929683e-02 -1.3627565e-01 3.9408896e-02 -4.8997652e-02 -5.5348115e-05 -4.1802465e-03 1.3425316e-01 1.2766048e-01 6.3554600e-02 3.5895403e-02 4.9830105e-02 1.1128590e-01 -7.8389496e-02 1.0797746e-01 6.1969892e-03 -3.5632234e-02 -4.3724190e-02
-1.0868800e-01 -5.7930652e-02 -7.3356889e-02 2.7692417e-02 1.5441679e-02 -8.9361556e-02 9.1277182e-02 -2.5287386e-02 -2.8914884e-02 2.8169984e-02 -2.3275338e-02 3.0987235e-03 1.7122838e-03 -2.6862666e-02 -3.3215452e-02 -9.0902159e-03 3.0722989e-02 -3.5044100e-02 3.3062886e-02 -3.1366698e-02 -7.7547885e-02 -4.7840916e-02 -1.7911255e-02 -3.1897849e-01
5.8717698e-02 -1.8617314e-01 9.0927154e-02 -1.6588183e-02 4.5734248e-03 1.1068925e-01 -7.2154664e-02 -8.2841270e-02 -1.7664481e-02 -6.7212507e-02 -9.8224273e-03 -5.1577049e-03 -1.0759702e-01 1.3130556e-01 -2.4058403e-02 -6.2986635e-02 3.4011083e-03 2.0653542e-02 9.7005829e-02 -3.7522390e-02 5.0562918e-02 -1.0557151e-02 -2.7855001e-02 -2.3437312e-04
