-1.2945293e-02 -3.6931255e-01 5.6113666e-01 -7.2459394e-01 -1.0570294e-01 -5.2638608e-01 1.4275448e-01 -1.7476913e-01 -1.5682381e-01 -2.3022392e-01 4.3853480e-02 1.3656144e-01 -2.1327256e-01 -3.7202448e-02 -1.1282583e-03 8.7655075e-02
-8.7506041e-02 -2.6515889e-01 -1.8083113e-01 -1.1994302e-01 9.0304144e-02 1.9314897e-01 -1.6853140e-01 -2.9328112e-03 7.7043042e-02 -1.7429955e-01 -1.3269126e-01 1.3134255e-02 -8.4431991e-02 4.3737707e-01 -5.1130927e-01 8.0997329e-03
9.7209569e-03 -3.4540083e-02 -3.5629179e-02 7.1634902e-03 -1.9024968e-02 -4.7349505e-02 5.8154892e-03 1.2584944e-01 -1.5471125e-01 2.0857075e-02 4.9862705e-02 -3.7039809e-02 -5.0047529e-03 7.4697807e-02 1.7204436e-02 6.6091374e-02
-1.4697745e-21 -1.9422910e-21 -5.8379294e-21 1.4596482e-21 -1.6411213e-20 2.9435814e-21 1.0751801e-21 1.2064256e-21 -8.4513358e-21 -8.8643308e-21 -1.1657353e-20 1.3743264e-21 7.6663861e-22 -8.5993293e-21 3.7653855e-21 1.0110356e-21
-2.3813767e-02 -1.1405477e-01 -7.1751755e-03 5.8017209e-02 7.1659512e-03 -1.4329489e-02 -2.1830760e-03 -7.0127338e-02 4.4820216e-03 9.7198579e-03 -1.5524940e-02 -7.3807412e-01 1.0886927e-02 -1.3288612e-02 -3.3845633e-02 8.4225029e-01
1.2693895e-01 1.0037194e-01 -1.5751006e-02 -1.1349044e-01 -7.0767835e-02 1.3188423e-01 -1.6501254e-01 -4.2753804e-01 -3.8859290e-01 3.7915468e-02 1.2058638e-01 -3.7303901e-01 -5.4425105e-02 1.2481817e-01 -7.7728806e-03 -3.3965203e-01
-1.6850732e-02 -1.1887062e-01 -1.1766002e-01 -3.5858173e-02 1.8766071e-01 3.0158283e-02 5.2888200e-02 4.4848662e-02 -1.0596605e-02 1.1525308e-01 5.9404045e-02 1.5491666e-02 3.9164260e-02 -3.4601249e-02 -2.1306036e-02 2.2808647e-02
-2.1773285e-22 -5.4957200e-22 -5.3558587e-22 1.0053115e-21 6.8603272e-22 1.4808874e-22 -2.5482421e-22 -5.3213805e-22 6.6413146e-23 6.7855245e-22 2.1045600e-22 5.3192353e-22 -1.9024170e-23 -3.9215752e-22 -1.5495658e-22 1.4127175e-22
-3.1171310e-01 6.1316730e-04 -1.4692180e-01 8.4169535e-03 -2.8963586e-02 7.5579137e-02 4.2271823e-01 -1.4801602e-01 -1.2374777e-01 -7.3989466e-02 2.0529235e-02 -5.0340634e-02 1.7545232e-01 -1.8035118e-02 -2.8882472e-02 -3.4719396e-02
1.4039983e-01 3.1512927e-02 -1.4533405e-01 2.4587321e-01 -4.9064845e-02 2.5197518e-01 -2.4478367e-02 3.8651794e-02 1.8573154e-02 -7.4466920e-01 4.1100529e-01 5.7597347e-02 1.9726977e-01 6.6185798e-03 2.5455964e-01 8.9928202e-02
2.1519251e-03 -2.2525522e-01 5.2723050e-02 -1.7002495e-02 1.3298695e-01 -1.4545651e-02 6.7189351e-02 1.1879864e-01 1.2972338e-02 4.0356915e-02 1.2863101e-01 5.3540092e-02 1.0947276e-01 -4.2464327e-02 4.6788197e-02 4.4918738e-02
-2.5642080e-23 6.0443613e-22 -1.8673958e-22 4.1816093e-22 -4.5832925e-22 -2.1170722e-22 -3.0276595e-22 -5.2406946e-22 2.6846396e-22 2.4033414e-22 -3.8743186e-22 -1.7108504e-22 -4.9893779e-22 8.9402432e-22 -2.5873686e-22 -2.5657621e-22
