1.000000 1.000000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.153846 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.115385 0.875000
0.153846 0.875000
0.153846 0.875000
0.192308 0.875000
0.192308 0.875000
0.393939 0.488889
